name,abbriviation,latitude,longitude
12th St. Oakland City Center,12TH,37.803768,-122.271450
16th St. Mission,16TH,37.765062,-122.419694
19th St. Oakland,19TH,37.808350,-122.268602
24th St. Mission,24TH,37.752470,-122.418143
Antioch,ANTC,37.995388,-121.780420
Ashby,ASHB,37.852803,-122.270062
Balboa Park,BALB,37.721585,-122.447506
Bay Fair,BAYF,37.696924,-122.126514
Berryessa/North San Jose,BERY,37.368473,-121.874681
Castro Valley,CAST,37.690746,-122.075602
Civic Center/UN Plaza,CIVC,37.779732,-122.414123
Coliseum,COLS,37.753661,-122.196869
Colma,COLM,37.684638,-122.466233
Concord,CONC,37.973737,-122.029095
Daly City,DALY,37.706121,-122.469081
Downtown Berkeley,DBRK,37.870104,-122.268133
Dublin/Pleasanton,DUBL,37.701687,-121.899179
El Cerrito del Norte,DELN,37.925086,-122.316794
El Cerrito Plaza,PLZA,37.902632,-122.298904
Embarcadero,EMBR,37.792874,-122.397020
Fremont,FRMT,37.557465,-121.976608
Fruitvale,FTVL,37.774836,-122.224175
Glen Park,GLEN,37.733064,-122.433817
Hayward,HAYW,37.669723,-122.087018
Lafayette,LAFY,37.893176,-122.124630
Lake Merritt,LAKE,37.797027,-122.265180
MacArthur,MCAR,37.829065,-122.267040
Millbrae,MLBR,37.600271,-122.386702
Milpitas,MLPT,37.410277,-121.891081
Montgomery St.,MONT,37.789405,-122.401066
North Berkeley,NBRK,37.873967,-122.283440
North Concord/Martinez,NCON,38.003193,-122.024653
Oakland International Airport,OAKL,37.713238,-122.212191
Orinda,ORIN,37.878361,-122.183791
Pittsburg/Bay Point,PITT,38.018914,-121.945154
Pittsburg Center,PCTR,38.016941,-121.889457
Pleasant Hill/Contra Costa Centre,PHIL,37.928468,-122.056012
Powell St.,POWL,37.784471,-122.407974
Richmond,RICH,37.936853,-122.353099
Rockridge,ROCK,37.844702,-122.251371
San Bruno,SBRN,37.637761,-122.416287
San Francisco International Airport,SFIA,37.615966,-122.392409
San Leandro,SANL,37.721947,-122.160844
South Hayward,SHAY,37.634375,-122.057189
South San Francisco,SSAN,37.664245,-122.443960
Union City,UCTY,37.590630,-122.017388
Walnut Creek,WCRK,37.905522,-122.067527
Warm Springs/South Fremont,WARM,37.502171,-121.939313
West Dublin/Pleasanton,WDUB,37.699756,-121.928240
West Oakland,WOAK,37.804872,-122.295140
