name,abbriviation,latitude,longitude
Warm Springs/South Fremont,WARM,37.502171,-121.939313
Fremont,FRMT,37.557465,-121.976608
Union City,UCTY,37.590630,-122.017388
South Hayward,SHAY,37.634375,-122.057189
Hayward,HAYW,37.669723,-122.087018
Bay Fair,BAYF,37.696924,-122.126514
San Leandro,SANL,37.721947,-122.160844
Coliseum,COLS,37.753661,-122.196869
Fruitvale,FTVL,37.774836,-122.224175
Lake Merritt,LAKE,37.797027,-122.265180
West Oakland,WOAK,37.804872,-122.295140
Embarcadero,EMBR,37.792874,-122.397020
Montgomery St.,MONT,37.789405,-122.401066
Powell St.,POWL,37.784471,-122.407974
Civic Center/UN Plaza,CIVC,37.779732,-122.414123
16th St. Mission,16TH,37.765062,-122.419694
24th St. Mission,24TH,37.752470,-122.418143
Glen Park,GLEN,37.733064,-122.433817
Balboa Park,BALB,37.721585,-122.447506
Daly City,DALY,37.706121,-122.469081
