name,abbriviation,latitude,longitude
Richmond,RICH,37.936853,-122.353099
El Cerrito del Norte,DELN,37.925086,-122.316794
El Cerrito Plaza,PLZA,37.902632,-122.298904
North Berkeley,NBRK,37.873967,-122.283440
Downtown Berkeley,DBRK,37.870104,-122.268133
Ashby,ASHB,37.852803,-122.270062
MacArthur,MCAR,37.829065,-122.267040
19th St. Oakland,19TH,37.808350,-122.268602
12th St. Oakland City Center,12TH,37.803768,-122.271450
Lake Merritt,LAKE,37.797027,-122.265180
Fruitvale,FTVL,37.774836,-122.224175
Coliseum,COLS,37.753661,-122.196869
San Leandro,SANL,37.721947,-122.160844
Bay Fair,BAYF,37.696924,-122.126514
Hayward,HAYW,37.669723,-122.087018
South Hayward,SHAY,37.634375,-122.057189
Union City,UCTY,37.590630,-122.017388
Fremont,FRMT,37.557465,-121.976608
Warm Springs/South Fremont,WARM,37.502171,-121.939313
