station_id,station_name,station_latitude,station_longitude
36,Folsom St at 3rd St,37.78383,-122.39887
139,Garfield Square (25th St at Harrison St),37.751017,-122.411901
155,Emeryville Public Market,37.840521,-122.293528
41,Golden Gate Ave at Polk St,37.78127,-122.41874
339,Jackson St at 11th St,37.800002,-122.266438
250,North Berkeley BART Station,37.873558,-122.283093
198,Snow Park,37.807813,-122.264496
66,3rd St at Townsend St,37.778742,-122.392741
133,Valencia St at 22nd St,37.755213,-122.420975
370,Jones St at Post St,37.787327,-122.413278
21,Montgomery St BART Station (Market St at 2nd St),37.789625,-122.400811
58,Market St at 10th St,37.776619,-122.417385
80,Townsend St at 5th St,37.775235,-122.397437
341,Fountain Alley at S 2nd St,37.336188,-121.889277
369,Hyde St at Post St,37.787349,-122.416651
235,Union St at 10th St,37.807239,-122.28937
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.781074,-122.411738
337,Webster St at 19th St,37.80697,-122.266588
93,4th St at Mission Bay Blvd S,37.770407,-122.391198
378,7th St at Empire St,37.783031,-122.388803
114,Rhode Island St at 17th St,37.764478,-122.40257
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.784872,-122.400876
97,14th St at Mission St,37.768265,-122.42011
28,The Embarcadero at Bryant St,37.787168,-122.388098
5,Powell St BART Station (Market St at 5th St),37.783899,-122.408445
22,Howard St at Beale St,37.789756,-122.394643
78,Folsom St at 9th St,37.773717,-122.411647
230,14th St at Mandela Pkwy,37.810743,-122.291415
308,San Pedro Square,37.336802,-121.89409
234,Fruitvale Ave at International Blvd,37.794077,-122.39386
349,Howard St at 6th St,37.780989,-122.405694
223,16th St Mission BART Station 2,37.764765,-122.420091
62,Victoria Manalo Draves Park,37.777791,-122.406432
76,McCoppin St at Valencia St,37.771662,-122.422423
136,23rd St at San Bruno Ave,37.754436,-122.404364
324,Union Square (Powell St at Post St),37.7883,-122.408531
113,Franklin Square,37.764555,-122.410345
99,Folsom St at 15th St,37.767037,-122.415443
92,Mission Bay Kids Park,37.772301,-122.393028
7,Frank H Ogawa Plaza,37.804562,-122.271738
8,The Embarcadero at Vallejo St,37.799953,-122.398525
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.776639,-122.395526
163,Lake Merritt BART Station,37.79732,-122.26532
355,23rd St at Tennessee St,37.755367,-122.388795
371,Lombard St at Columbus Ave,37.802746,-122.413579
239,Bancroft Way at Telegraph Ave,37.868813,-122.258764
350,8th St at Brannan St,37.771431,-122.405787
90,Townsend St at 7th St,37.771058,-122.402717
405,Sunol St at San Carlos St,37.323451,-121.905976
343,Bryant St at 2nd St,37.783172,-122.393572
274,Oregon St at Adeline St,37.857567,-122.267558
419,Fern St at Polk St,37.788197,-122.420373
187,Jack London Square,37.796248,-122.279352
238,MLK Jr Way at University Ave,37.871719,-122.273068
122,19th St at Mission St,37.760299,-122.418892
112,Harrison St at 17th St,37.763847,-122.413004
81,Berry St at 4th St,37.77588,-122.39317
183,Telegraph Ave at 19th St,37.808702,-122.269927
98,Valencia St at 16th St,37.765052,-122.421866
129,Harrison St at 20th St,37.758862,-122.412544
3,Powell St BART Station (Market St at 4th St),37.786375,-122.404904
426,San Carlos St at Meridian Ave,37.323345,-121.913497
100,Bryant St at 15th St,37.7671,-122.410662
196,Grand Ave at Perkins St,37.808894,-122.25646
279,Santa Clara St at 7th St,37.339146,-121.884105
116,Mississippi St at 17th St,37.764802,-122.394771
368,Myrtle St at Polk St,37.785434,-122.419622
106,Sanchez St at 17th St,37.763242,-122.430675
180,Telegraph Ave at 23rd St,37.812678,-122.268773
255,Virginia St at Shattuck Ave,37.876573,-122.269528
11,Davis St at Jackson St,37.79728,-122.398436
285,Webster St at O'Farrell St,37.783521,-122.431158
77,11th St at Natoma St,37.773507,-122.41604
134,Valencia St at 24th St,37.752428,-122.420628
313,Almaden Blvd at San Fernando St,37.331415,-121.8932
119,18th St at Noe St,37.761047,-122.432642
17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086
251,California St at University Ave,37.870555,-122.27972
290,George St at 1st St,37.780571,-122.401336
23,The Embarcadero at Steuart St,37.791464,-122.391034
59,S Van Ness Ave at Market St,37.774814,-122.418954
75,Market St at Franklin St,37.773793,-122.421239
373,Potrero del Sol Park (25th St at Utah St),37.751792,-122.405216
4,Cyril Magnin St at Ellis St,37.785881,-122.408915
15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203
314,Santa Clara St at Almaden Blvd,37.333988,-121.894902
311,Paseo De San Antonio at 2nd St,37.333798,-121.886943
20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051
127,Valencia St at 21st St,37.756708,-122.421025
252,Channing Way at Shattuck Ave,37.865847,-122.267443
386,24th St at Bartlett St,37.752105,-122.419724
149,Emeryville Town Hall,37.831275,-122.285633
54,Alamo Square (Steiner St at Fulton St),37.777547,-122.433274
168,Alcatraz Ave at Shattuck Ave,37.849595,-122.265569
89,Division St at Potrero Ave,37.769218,-122.407646
364,China Basin St at 3rd St,37.772,-122.38997
190,West St at 40th St,37.830223,-122.27095
72,Page St at Scott St,37.772406,-122.43565
141,Valencia St at Cesar Chavez St,37.747998,-122.420219
87,Folsom St at 13th St,37.769757,-122.415674
307,SAP Center,37.332692,-121.900084
404,21st St at Santa Clara St,37.345759,-121.870678
95,Sanchez St at 15th St,37.766218,-122.43106
104,4th St at 16th St,37.767045,-122.390833
178,Broadway at 30th St,37.819381,-122.261928
88,11th St at Bryant St,37.77003,-122.411726
345,Hubbell St at 16th St,37.766483,-122.398279
278,The Alameda at Bush St,37.331932,-121.904888
243,Bancroft Way at College Ave,37.86936,-122.254337
33,Golden Gate Ave at Hyde St,37.781649,-122.415408
49,S Park St at 3rd St,37.78076,-122.394989
86,Market St at Dolores St,37.769305,-122.426826
109,17th St at Valencia St,37.763316,-122.421904
27,Beale St at Harrison St,37.788059,-122.391865
384,Jackson St at Polk St,37.79416,-122.421568
123,Folsom St at 19th St,37.760594,-122.414817
125,20th St at Bryant St,37.7592,-122.409851
105,16th St at Prosper St,37.764285,-122.431804
53,Grove St at Divisadero,37.775946,-122.437777
85,Church St at Duboce Ave,37.770083,-122.429156
74,Laguna St at Hayes St,37.776435,-122.426244
108,16th St Mission BART,37.76471,-122.419957
6,The Embarcadero at Sansome St,37.80477,-122.403234
166,College Ave at Alcatraz Ave,37.851375,-122.252523
412,Glen Park BART Station,37.732813,-122.43414
340,Harmon St at Adeline St,37.849735,-122.270582
152,47th St at San Pablo Ave,37.835632,-122.281051
399,Bay St at Fillmore St,37.802636,-122.436289
256,Hearst Ave at Euclid Ave,37.875112,-122.260553
296,5th St at Virginia St,37.325998,-121.87712
356,Valencia St at Clinton Park,37.769188,-122.422285
70,Central Ave at Fell St,37.773311,-122.444293
160,West Oakland BART Station,37.805318,-122.294837
246,Berkeley Civic Center,37.86906,-122.270556
121,Mission Playground,37.75921,-122.421339
292,Empire St at 1st St,37.344882,-121.896965
24,Spear St at Folsom St,37.789677,-122.390428
385,Woolsey St at Sacramento St,37.850578,-122.278175
381,20th St at Dolores St,37.758238,-122.426094
96,Dolores St at 15th St,37.76621,-122.426614
30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282
157,65th St at Hollis St,37.846784,-122.291376
110,17th & Folsom Street Park (17th St at Folsom St),37.763708,-122.415204
102,Irwin St at 8th St,37.766883,-122.399579
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823
254,Vine St at Shattuck Ave,37.880222,-122.269592
376,Illinois St at 20th St,37.760458,-122.38754
273,Fulton St at Ashby Ave,37.855574,-122.263565
176,MacArthur BART Station,37.82841,-122.266315
304,Jackson St at 5th St,37.348759,-121.894798
146,30th St at San Jose Ave,37.742314,-122.42318
144,Precita Park,37.7473,-122.411403
372,Madison St at 17th St,37.804037,-122.262409
410,Illinois St at Cesar Chavez St,37.7502,-122.386567
120,Mission Dolores Park,37.76142,-122.426435
270,Ninth St at Heinz Ave,37.853532,-122.289444
60,8th St at Ringold St,37.77452,-122.409449
170,Telegraph Ave at 58th St,37.844493,-122.261351
409,2100 Powell St,37.839543,-122.298718
19,Post St at Kearny St,37.788975,-122.403452
156,Stanford Ave at Hollis St,37.838443,-122.288665
16,Market St at Steuart St,37.79009,-122.395838
63,Bryant St at 6th St,37.77591,-122.402575
244,Shattuck Ave at Hearst Ave,37.873676,-122.268487
236,Market St at 8th St,37.803687,-122.282497
55,Webster St at Grove St,37.777053,-122.429558
181,Grand Ave at Webster St,37.811377,-122.265193
91,Berry St at King St,37.771762,-122.398438
10,Washington St at Kearny St,37.795393,-122.40477
271,San Pablo Park,37.855783,-122.283127
158,Shattuck Ave at Telegraph Ave,37.833279,-122.26349
64,5th St at Brannan St,37.776754,-122.399018
61,Howard St at 8th St,37.776513,-122.411306
50,2nd St at Townsend St,37.780526,-122.390288
25,Howard St at 2nd St,37.787064,-122.397951
132,24th St at Chattanooga St,37.751819,-122.426614
79,7th St at Brannan St,37.773492,-122.403673
201,10th St at Fallon St,37.797673,-122.262997
153,59th St at Horton St,37.840945,-122.29136
148,Horton St at 40th St,37.829705,-122.28761
150,Adeline St at 40th St,37.831277,-122.278267
276,Julian St at The Alameda,37.332233,-121.912516
31,Raymond Kimbell Playground,37.783813,-122.434559
241,Ashby BART Station,37.852477,-122.270213
171,Rockridge BART Station,37.844279,-122.2519
400,Buchanan St at North Point St,37.804272,-122.433537
56,Koshland Park,37.773414,-122.427317
186,Lakeside Dr at 14th St,37.801319,-122.262642
377,Fell St at Stanyan St,37.771935,-122.453705
258,University Ave at Oxford St,37.872356,-122.266447
336,Potrero Ave and Mariposa St,37.763281,-122.407377
101,15th St at Potrero Ave,37.767079,-122.407359
365,Turk St at Fillmore St,37.78045,-122.431946
145,29th St at Church St,37.743684,-122.426806
73,Pierce St at Haight St,37.771793,-122.433708
206,College Ave at Bryant Ave,37.838127,-122.251271
14,Clay St at Battery St,37.795001,-122.39997
115,Jackson Playground,37.765026,-122.398773
18,Telegraph Ave at Alcatraz Ave,37.850222,-122.260172
245,Downtown Berkeley BART,37.870139,-122.268422
207,Broadway at Coronado Ave,37.835788,-122.251621
182,19th Street BART Station,37.809134,-122.268146
259,Addison St at Fourth St,37.866249,-122.299371
126,Esprit Park,37.761634,-122.390648
312,San Jose Diridon Station,37.329732,-121.901782
231,14th St at Filbert St,37.80875,-122.283282
220,San Pablo Ave at MLK Jr Way,37.811351,-122.273422
172,College Ave at Taft Ave,37.8418,-122.251535
265,Ninth St at Parker St,37.858868,-122.29121
380,Masonic Ave at Turk St,37.779047,-122.447291
351,10th St at University Ave,37.86906,-122.2934
268,Ellsworth St at Russell St,37.85749,-122.261578
357,2nd St at Julian St,37.341132,-121.892844
151,53rd St at Hollis St,37.836182,-122.28718
496,Green St at Van Ness Ave,37.338718,-121.914202
211,Broadway at 40th St,37.827757,-122.256716
35,Cahill Park,37.329119,-121.904576
169,Bushrod Park,37.846516,-122.265304
338,13th St at Franklin St,37.803189,-122.270579
179,Telegraph Ave at 27th St,37.816073,-122.267886
9,Broadway at Battery St,37.798572,-122.400869
43,San Francisco Public Library (Grove St at Hyde St),37.778768,-122.415929
232,MLK Jr Way at 14th St,37.806163,-122.27604
361,Mendell St at Fairfax Ave,37.739853,-122.385655
173,Shattuck Ave at 55th St,37.840364,-122.264488
267,Derby St at College Ave,37.861804,-122.253569
305,Ryland Park,37.342725,-121.895617
282,Market St at Park St,37.332426,-121.890349
383,Golden Gate Ave at Franklin St,37.780787,-122.421934
147,29th St at Tiffany Ave,37.744067,-122.421472
209,45th St at MLK Jr Way,37.833558,-122.267418
154,Doyle St at 59th St,37.841924,-122.288045
192,37th St at West St,37.826696,-122.271797
269,Telegraph Ave at Carleton St,37.86232,-122.258801
13,Commercial St at Montgomery St,37.794231,-122.402923
200,2nd Ave at E 18th St,37.800214,-122.25381
240,Haste St at Telegraph Ave,37.866043,-122.258804
193,Grand Ave at Santa Clara Ave,37.812744,-122.247215
443,3rd St at Keyes St,37.320866,-121.876279
107,17th St at Dolores St,37.763015,-122.426497
247,Fulton St at Bancroft Way,37.867789,-122.265896
440,Carl St at Cole St,37.76591,-122.449257
401,Skyport Dr at Technology Dr,37.365227,-121.916815
415,Delmas Ave at Virginia St,37.319757,-121.892999
280,San Fernando St at 7th St,37.337122,-121.883215
195,Bay Pl at Vernon St,37.812314,-122.260779
266,Parker St at Fulton St,37.862464,-122.264791
242,Milvia St at Derby St,37.860125,-122.269384
26,1st St at Folsom St,37.78729,-122.39438
375,Grove St at Masonic Ave,37.774836,-122.446546
411,Octavia Blvd at Page St,37.774018,-122.423809
215,34th St at Telegraph Ave,37.822548,-122.266318
202,Washington St at 8th St,37.800754,-122.274894
397,Gish Rd at 1st St,37.361867,-121.909315
363,Salesforce Transit Center (Natoma St at 2nd St),37.787492,-122.398285
194,Lakeshore Ave at Trestle Glen Rd,37.811081,-122.243268
291,Autumn Parkway at Coleman Ave,37.341335,-121.903183
177,MacArthur Blvd at Telegraph Ave,37.826286,-122.2651
